miRNA	Gene		context_score	weighted_score
mmu-miR-149-5p	ENSG00000111832	RWDD1	0.168	0.033
mmu-miR-149-5p	ENSG00000112394	SLC16A10	0.107	0.017
mmu-miR-149-5p	ENSG00000113083	LOX	0.312	0.138
mmu-miR-149-5p	ENSG00000113558	SKP1	0.01	0
mmu-miR-149-5p	ENSG00000114019	AMOTL2	0.25	0.25
mmu-miR-149-5p	ENSG00000114354	TFG	0.218	0.001
mmu-miR-149-5p	ENSG00000115461	IGFBP5	0.218	0.1
mmu-miR-149-5p	ENSG00000115486	GGCX	0.083	0.013
mmu-miR-149-5p	ENSG00000116473	RAP1A	0.55	0.55
mmu-miR-149-5p	ENSG00000117560	FASLG	0.394	0.394
mmu-miR-149-5p	ENSG00000118217	ATF6	0.046	0.008
mmu-miR-149-5p	ENSG00000118257	NRP2	0.079	0.079
mmu-miR-149-5p	ENSG00000118263	KLF7	0.022	0.022
mmu-miR-149-5p	ENSG00000118655	DCLRE1B	0.235	0.205
mmu-miR-149-5p	ENSG00000119630	PGF	0.135	0.135
mmu-miR-149-5p	ENSG00000119946	CNNM1	0.2	0.2
mmu-miR-149-5p	ENSG00000120162	MOB3B	0.452	0.452
mmu-miR-149-5p	ENSG00000121481	RNF2	0.435	0.335
mmu-miR-149-5p	ENSG00000121753	ADGRB2	0.146	0.146
mmu-miR-149-5p	ENSG00000121964	GTDC1	0.114	0.005
mmu-miR-149-5p	ENSG00000122515	ZMIZ2	0.02	0.007
mmu-miR-149-5p	ENSG00000122545	SEPTIN7	0.095	0.095
mmu-miR-149-5p	ENSG00000122548	KIAA0087	0.108	0.108
mmu-miR-149-5p	ENSG00000122779	TRIM24	0.01	0.002
mmu-miR-149-5p	ENSG00000123091	RNF11	0.333	0.333
mmu-miR-149-5p	ENSG00000123352	SPATS2	0.024	0.008
mmu-miR-149-5p	ENSG00000123360	PDE1B	0.093	0.093
mmu-miR-149-5p	ENSG00000124181	PLCG1	0.034	0.034
mmu-miR-149-5p	ENSG00000124212	PTGIS	0.016	0.016
mmu-miR-149-5p	ENSG00000124313	IQSEC2	0.208	0.208
mmu-miR-149-5p	ENSG00000125656	CLPP	0.617	0.001
mmu-miR-149-5p	ENSG00000127314	RAP1B	0.318	0.318
mmu-miR-149-5p	ENSG00000127585	FBXL16	0.197	0.197
mmu-miR-149-5p	ENSG00000127863	TNFRSF19	0.263	0.263
mmu-miR-149-5p	ENSG00000128918	ALDH1A2	0.177	0.177
mmu-miR-149-5p	ENSG00000129315	CCNT1	0.01	0.009
mmu-miR-149-5p	ENSG00000129473	BCL2L2	0.231	0.228
mmu-miR-149-5p	ENSG00000130821	SLC6A8	0.23	0.23
mmu-miR-149-5p	ENSG00000131650	KREMEN2	0.01	0.01
mmu-miR-149-5p	ENSG00000131748	STARD3	0.334	0.334
mmu-miR-149-5p	ENSG00000132326	PER2	0.352	0.352
mmu-miR-149-5p	ENSG00000132361	CLUH	0.194	0.158
mmu-miR-149-5p	ENSG00000132535	DLG4	0.022	0.022
mmu-miR-149-5p	ENSG00000133477	FAM83F	0.099	0.099
mmu-miR-149-5p	ENSG00000134030	CTIF	0.094	0.094
mmu-miR-149-5p	ENSG00000134853	PDGFRA	0.162	0.162
mmu-miR-149-5p	ENSG00000135097	MSI1	0.268	0.268
mmu-miR-149-5p	ENSG00000135486	HNRNPA1	0.566	0.566
mmu-miR-149-5p	ENSG00000135823	STX6	0.034	0.017
mmu-miR-149-5p	ENSG00000136044	APPL2	0.344	0.336
mmu-miR-149-5p	ENSG00000136068	FLNB	0.183	0.183
mmu-miR-149-5p	ENSG00000136155	SCEL	0.192	0
mmu-miR-149-5p	ENSG00000136504	KAT7	0.233	0.233
mmu-miR-149-5p	ENSG00000136856	SLC2A8	0.419	0.018
mmu-miR-149-5p	ENSG00000136874	STX17	0.072	0.051
mmu-miR-149-5p	ENSG00000137101	CD72	0.101	0.101
mmu-miR-149-5p	ENSG00000137135	ARHGEF39	0.108	0.108
mmu-miR-149-5p	ENSG00000138286	FAM149B1	0.264	0.037
mmu-miR-149-5p	ENSG00000138756	BMP2K	0.03	0.029
mmu-miR-149-5p	ENSG00000139636	LMBR1L	0.398	0.398
mmu-miR-149-5p	ENSG00000139645	ANKRD52	0.236	0.235
mmu-miR-149-5p	ENSG00000140262	TCF12	0.253	0.206
mmu-miR-149-5p	ENSG00000140320	BAHD1	0.079	0.079
mmu-miR-149-5p	ENSG00000140463	BBS4	0.579	0.579
mmu-miR-149-5p	ENSG00000140577	CRTC3	0.02	0.02
mmu-miR-149-5p	ENSG00000140600	SH3GL3	0.623	0.623
mmu-miR-149-5p	ENSG00000140853	NLRC5	0.102	0.102
mmu-miR-149-5p	ENSG00000141027	NCOR1	0.186	0.186
mmu-miR-149-5p	ENSG00000141150	#N/A	0.086	0.085
mmu-miR-149-5p	ENSG00000141376	BCAS3	0.118	0.002
mmu-miR-149-5p	ENSG00000141720	#N/A	0.25	0.25
mmu-miR-149-5p	ENSG00000141858	SAMD1	0.103	0.062
mmu-miR-149-5p	ENSG00000142039	CCDC97	0.098	0.068
mmu-miR-149-5p	ENSG00000142700	DMRTA2	0.27	0.247
mmu-miR-149-5p	ENSG00000143515	ATP8B2	0.01	0.007
mmu-miR-149-5p	ENSG00000143603	KCNN3	0.147	0.147
mmu-miR-149-5p	ENSG00000143624	INTS3	0.146	0.145
mmu-miR-149-5p	ENSG00000143771	CNIH4	0.527	0.527
mmu-miR-149-5p	ENSG00000143850	PLEKHA6	0.16	0.16
mmu-miR-149-5p	ENSG00000143858	SYT2	0.336	0.336
mmu-miR-149-5p	ENSG00000144043	TEX261	0.02	0.015
mmu-miR-149-5p	ENSG00000144285	SCN1A	0.091	0.091
mmu-miR-149-5p	ENSG00000144591	GMPPA	0.435	0
mmu-miR-149-5p	ENSG00000145348	TBCK	0.066	0.063
mmu-miR-149-5p	ENSG00000145391	SETD7	0.027	0.004
mmu-miR-149-5p	ENSG00000145431	PDGFC	0.182	0.17
mmu-miR-149-5p	ENSG00000145555	MYO10	0.081	0.081
mmu-miR-149-5p	ENSG00000146021	KLHL3	0.263	0.227
mmu-miR-149-5p	ENSG00000146143	PRIM2	0.233	0.233
mmu-miR-149-5p	ENSG00000146676	PURB	0.113	0.06
mmu-miR-149-5p	ENSG00000146950	SHROOM2	0.32	0.063
mmu-miR-149-5p	ENSG00000147402	#N/A	0.02	0.02
mmu-miR-149-5p	ENSG00000147457	CHMP7	0.095	0.07
mmu-miR-149-5p	ENSG00000147573	TRIM55	0.283	0.283
mmu-miR-149-5p	ENSG00000147852	VLDLR	0.185	0.185
mmu-miR-149-5p	ENSG00000147862	NFIB	0.169	0.169
mmu-miR-149-5p	ENSG00000148200	NR6A1	0.374	0.374
mmu-miR-149-5p	ENSG00000148606	POLR3A	0.07	0.053
mmu-miR-149-5p	ENSG00000149657	LSM14B	0.29	0.183
mmu-miR-149-5p	ENSG00000150455	TIRAP	0.506	0.506
mmu-miR-149-5p	ENSG00000153094	BCL2L11	0.13	0.114
mmu-miR-149-5p	ENSG00000153250	RBMS1	0.171	0.171
mmu-miR-149-5p	ENSG00000155090	KLF10	0.218	0.218
mmu-miR-149-5p	ENSG00000155980	KIF5A	0.139	0.139
mmu-miR-149-5p	ENSG00000156453	PCDH1	0.018	0.015
mmu-miR-149-5p	ENSG00000156587	UBE2L6	0.267	0.267
mmu-miR-149-5p	ENSG00000156687	UNC5D	0.02	0.017
mmu-miR-149-5p	ENSG00000157823	AP3S2	0.109	0.061
mmu-miR-149-5p	ENSG00000158467	AHCYL2	0.121	0.121
mmu-miR-149-5p	ENSG00000159217	IGF2BP1	0.206	0.13
mmu-miR-149-5p	ENSG00000159348	CYB5R1	0.191	0.001
mmu-miR-149-5p	ENSG00000160741	CRTC2	0.608	0.608
mmu-miR-149-5p	ENSG00000161791	FMNL3	0.097	0.027
mmu-miR-149-5p	ENSG00000162231	NXF1	0.01	0.01
mmu-miR-149-5p	ENSG00000162398	LEXM	0.365	0.365
mmu-miR-149-5p	ENSG00000162407	PLPP3	0.266	0.266
mmu-miR-149-5p	ENSG00000162676	GFI1	0.319	0.319
mmu-miR-149-5p	ENSG00000162734	PEA15	0.099	0.086
mmu-miR-149-5p	ENSG00000162878	PKDCC	0.243	0.243
mmu-miR-149-5p	ENSG00000163013	FBXO41	0.03	0.029
mmu-miR-149-5p	ENSG00000163251	FZD5	0.215	0.008
mmu-miR-149-5p	ENSG00000163395	IGFN1	0.24	0.24
mmu-miR-149-5p	ENSG00000163468	CCT3	0.491	0.491
mmu-miR-149-5p	ENSG00000163755	HPS3	0.071	0.006
mmu-miR-149-5p	ENSG00000163900	TMEM41A	0.171	0.171
mmu-miR-149-5p	ENSG00000163909	HEYL	0.119	0
mmu-miR-149-5p	ENSG00000164219	PGGT1B	0.235	0.235
mmu-miR-149-5p	ENSG00000164284	GRPEL2	0.439	0.326
mmu-miR-149-5p	ENSG00000164626	KCNK5	0.285	0.285
mmu-miR-149-5p	ENSG00000164684	ZNF704	0.054	0.012
mmu-miR-149-5p	ENSG00000164924	YWHAZ	0.297	0.297
mmu-miR-149-5p	ENSG00000164983	TMEM65	0.413	0.214
mmu-miR-149-5p	ENSG00000165194	PCDH19	0.142	0.142
mmu-miR-149-5p	ENSG00000166575	TMEM135	0.062	0.062
mmu-miR-149-5p	ENSG00000166900	STX3	0.057	0.001
mmu-miR-149-5p	ENSG00000167173	C15orf39	0.502	0.502
mmu-miR-149-5p	ENSG00000167548	KMT2D	0.17	0.17
mmu-miR-149-5p	ENSG00000167601	AXL	0.185	0.085
mmu-miR-149-5p	ENSG00000167693	NXN	0.137	0.002
mmu-miR-149-5p	ENSG00000167994	RAB3IL1	0.317	0.317
mmu-miR-149-5p	ENSG00000168066	SF1	0.337	0.337
mmu-miR-149-5p	ENSG00000168246	UBTD2	0.284	0.282
mmu-miR-149-5p	ENSG00000168297	PXK	0.188	0.188
mmu-miR-149-5p	ENSG00000168807	SNTB2	0.023	0.023
mmu-miR-149-5p	ENSG00000168939	SPRY3	0.14	0.14
mmu-miR-149-5p	ENSG00000169118	CSNK1G1	0.129	0.129
mmu-miR-149-5p	ENSG00000169213	RAB3B	0.169	0.127
mmu-miR-149-5p	ENSG00000169436	COL22A1	0.073	0.073
mmu-miR-149-5p	ENSG00000169891	REPS2	0.213	0.032
mmu-miR-149-5p	ENSG00000169933	FRMPD4	0.01	0.01
mmu-miR-149-5p	ENSG00000169991	IFFO2	0.067	0.057
mmu-miR-149-5p	ENSG00000170166	HOXD4	0.343	0.306
mmu-miR-149-5p	ENSG00000170291	ELP5	0.393	0.337
mmu-miR-149-5p	ENSG00000170677	SOCS6	0.232	0.139
mmu-miR-149-5p	ENSG00000171365	CLCN5	0.118	0.053
mmu-miR-149-5p	ENSG00000171617	ENC1	0.141	0.116
mmu-miR-149-5p	ENSG00000172466	ZNF24	0.1	0.1
mmu-miR-149-5p	ENSG00000172939	OXSR1	0.206	0.204
mmu-miR-149-5p	ENSG00000173273	TNKS	0.175	0.174
mmu-miR-149-5p	ENSG00000173275	ZNF449	0.212	0.205
mmu-miR-149-5p	ENSG00000173548	SNX33	0.028	0.022
mmu-miR-149-5p	ENSG00000173653	RCE1	0.112	0.112
mmu-miR-149-5p	ENSG00000173868	PHOSPHO1	0.221	0.221
mmu-miR-149-5p	ENSG00000173898	SPTBN2	0.13	0.129
mmu-miR-149-5p	ENSG00000174099	MSRB3	0.055	0.053
mmu-miR-149-5p	ENSG00000174151	CYB561D1	0.079	0.075
mmu-miR-149-5p	ENSG00000174282	ZBTB4	0.084	0.084
mmu-miR-149-5p	ENSG00000174437	ATP2A2	0.243	0.241
mmu-miR-149-5p	ENSG00000174456	C12orf76	0.621	0.621
mmu-miR-149-5p	ENSG00000174469	CNTNAP2	0.062	0.062
mmu-miR-149-5p	ENSG00000175130	MARCKSL1	0.425	0.425
mmu-miR-149-5p	ENSG00000175318	GRAMD2A	0.11	0.11
mmu-miR-149-5p	ENSG00000175387	SMAD2	0.021	0.002
mmu-miR-149-5p	ENSG00000175505	CLCF1	0.278	0.278
mmu-miR-149-5p	ENSG00000176049	JAKMIP2	0.17	0.041
mmu-miR-149-5p	ENSG00000176463	SLCO3A1	0.269	0.269
mmu-miR-149-5p	ENSG00000176953	NFATC2IP	0.277	0.218
mmu-miR-149-5p	ENSG00000176974	SHMT1	0.044	0
mmu-miR-149-5p	ENSG00000177807	KCNJ10	0.126	0.126
mmu-miR-149-5p	ENSG00000179262	RAD23A	0.016	0.015
mmu-miR-149-5p	ENSG00000181467	RAP2B	0.206	0.204
mmu-miR-149-5p	ENSG00000181472	ZBTB2	0.267	0.258
mmu-miR-149-5p	ENSG00000181690	PLAG1	0.223	0.217
mmu-miR-149-5p	ENSG00000181790	ADGRB1	0.168	0.168
mmu-miR-149-5p	ENSG00000182093	GET1	0.534	0.534
mmu-miR-149-5p	ENSG00000182095	TNRC18	0.071	0.071
mmu-miR-149-5p	ENSG00000182158	CREB3L2	0.05	0.046
mmu-miR-149-5p	ENSG00000182197	EXT1	0.325	0.325
mmu-miR-149-5p	ENSG00000182575	NXPH3	0.02	0.004
mmu-miR-149-5p	ENSG00000182580	EPHB3	0.367	0.367
mmu-miR-149-5p	ENSG00000182759	MAFA	0.132	0.132
mmu-miR-149-5p	ENSG00000183023	SLC8A1	0.03	0.002
mmu-miR-149-5p	ENSG00000183044	ABAT	0.03	0.014
mmu-miR-149-5p	ENSG00000183643	C15orf32	0.232	0.232
mmu-miR-149-5p	ENSG00000184588	PDE4B	0.217	0.217
mmu-miR-149-5p	ENSG00000185019	UBOX5	0.225	0.225
mmu-miR-149-5p	ENSG00000185104	FAF1	0.139	0.058
mmu-miR-149-5p	ENSG00000185269	NOTUM	0.247	0.122
mmu-miR-149-5p	ENSG00000185379	RAD51D	0.195	0.019
mmu-miR-149-5p	ENSG00000185670	ZBTB3	0.053	0.053
mmu-miR-149-5p	ENSG00000186432	KPNA4	0.066	0.063
mmu-miR-149-5p	ENSG00000187257	RSBN1L	0.527	0.514
mmu-miR-149-5p	ENSG00000187688	TRPV2	0.01	0.01
mmu-miR-149-5p	ENSG00000187778	MCRS1	0.416	0.416
mmu-miR-149-5p	ENSG00000188001	TPRG1	0.195	0.038
mmu-miR-149-5p	ENSG00000188766	SPRED3	0.048	0.042
mmu-miR-149-5p	ENSG00000189367	KIAA0408	0.128	0.043
mmu-miR-149-5p	ENSG00000196776	CD47	0.213	0.092
mmu-miR-149-5p	ENSG00000197122	SRC	0.134	0.134
mmu-miR-149-5p	ENSG00000197150	ABCB8	0.103	0.103
mmu-miR-149-5p	ENSG00000197312	DDI2	0.386	0.005
mmu-miR-149-5p	ENSG00000197324	LRP10	0.178	0.091
mmu-miR-149-5p	ENSG00000197816	CCDC180	0.247	0.247
mmu-miR-149-5p	ENSG00000197948	FCHSD1	0.16	0.157
mmu-miR-149-5p	ENSG00000197959	DNM3	0.242	0.224
mmu-miR-149-5p	ENSG00000198026	ZNF335	0.249	0.249
mmu-miR-149-5p	ENSG00000198576	ARC	0.191	0.191
mmu-miR-149-5p	ENSG00000198700	IPO9	0.01	0.001
mmu-miR-149-5p	ENSG00000198792	TMEM184B	0.122	0.122
mmu-miR-149-5p	ENSG00000198858	R3HDM4	0.01	0.01
mmu-miR-149-5p	ENSG00000198900	TOP1	0.273	0.273
mmu-miR-149-5p	ENSG00000204138	PHACTR4	0.082	0.082
mmu-miR-149-5p	ENSG00000204472	AIF1	0.769	0.769
mmu-miR-149-5p	ENSG00000205937	RNPS1	0.324	0.324
mmu-miR-149-5p	ENSG00000213390	ARHGAP19	0.22	0.22
mmu-miR-149-5p	ENSG00000215067	ALOX12-AS1	0.29	0.043
mmu-miR-149-5p	ENSG00000215695	RSC1A1	0.575	0.575
mmu-miR-149-5p	ENSG00000233863	#N/A	0.123	0.123
mmu-miR-149-5p	ENSG00000241553	ARPC4	0.298	0.252
mmu-miR-149-5p	ENSG00000248919	ATP5MF-PTCD1	0.01	0
mmu-miR-149-5p	ENSG00000249115	HAUS5	0.21	0.21
mmu-miR-149-5p	ENSG00000250021	ARPIN-AP3S2	0.077	0.043
mmu-miR-149-5p	ENSG00000250091	DNAH10OS	0.141	0.133
mmu-miR-149-5p	ENSG00000269113	TRABD2B	0.06	0.06
mmu-miR-149-5p	ENSG00000269891	ARHGAP19-SLIT1	0.165	0.165
mmu-miR-181a-5p	ENSG00000004799	PDK4	0.02	0.02
mmu-miR-181a-5p	ENSG00000005073	HOXA11	0.425	0.425
mmu-miR-181a-5p	ENSG00000005810	MYCBP2	0.101	0.001
mmu-miR-181a-5p	ENSG00000005812	FBXL3	0.261	0.24
mmu-miR-181a-5p	ENSG00000005884	ITGA3	0.03	0.004
mmu-miR-181a-5p	ENSG00000006451	RALA	0.189	0.189
mmu-miR-181a-5p	ENSG00000006576	PHTF2	0.138	0.138
mmu-miR-181a-5p	ENSG00000007168	PAFAH1B1	0.204	0.086
mmu-miR-181a-5p	ENSG00000007237	GAS7	0.025	0.002
mmu-miR-181a-5p	ENSG00000007402	CACNA2D2	0.042	0.042
mmu-miR-181a-5p	ENSG00000008083	JARID2	0.091	0.091
mmu-miR-181a-5p	ENSG00000008294	SPAG9	0.104	0.061
mmu-miR-181a-5p	ENSG00000008300	CELSR3	0.092	0.092
mmu-miR-181a-5p	ENSG00000009335	UBE3C	0.087	0.01
mmu-miR-181a-5p	ENSG00000010244	ZNF207	0.108	0.09
mmu-miR-181a-5p	ENSG00000010610	CD4	0.167	0.167
mmu-miR-181a-5p	ENSG00000015171	ZMYND11	0.099	0.099
mmu-miR-181a-5p	ENSG00000018189	RUFY3	0.229	0.184
mmu-miR-181a-5p	ENSG00000019549	SNAI2	0.271	0.271
mmu-miR-181a-5p	ENSG00000019991	HGF	0.083	0.083
mmu-miR-181a-5p	ENSG00000022355	GABRA1	0.195	0.195
mmu-miR-181a-5p	ENSG00000028839	TBPL1	0.217	0.189
mmu-miR-181a-5p	ENSG00000029363	BCLAF1	0.169	0.169
mmu-miR-181a-5p	ENSG00000029534	ANK1	0.03	0.03
mmu-miR-181a-5p	ENSG00000031003	FAM13B	0.197	0.163
mmu-miR-181a-5p	ENSG00000033800	PIAS1	0.073	0.01
mmu-miR-181a-5p	ENSG00000035681	NSMAF	0.075	0.075
mmu-miR-181a-5p	ENSG00000036257	CUL3	0.197	0.196
mmu-miR-181a-5p	ENSG00000036549	ZZZ3	0.038	0.038
mmu-miR-181a-5p	ENSG00000037965	HOXC8	0.207	0.207
mmu-miR-181a-5p	ENSG00000038210	PI4K2B	0.449	0.444
mmu-miR-181a-5p	ENSG00000038427	VCAN	0.178	0.176
mmu-miR-181a-5p	ENSG00000043093	DCUN1D1	0.186	0.186
mmu-miR-181a-5p	ENSG00000043143	JADE2	0.063	0.043
mmu-miR-181a-5p	ENSG00000043355	ZIC2	0.188	0.188
mmu-miR-181a-5p	ENSG00000044574	HSPA5	0.231	0.231
mmu-miR-181a-5p	ENSG00000047056	WDR37	0.148	0.101
mmu-miR-181a-5p	ENSG00000047188	YTHDC2	0.289	0.127
mmu-miR-181a-5p	ENSG00000048405	ZNF800	0.325	0.321
mmu-miR-181a-5p	ENSG00000048540	LMO3	0.252	0.252
mmu-miR-181a-5p	ENSG00000048649	RSF1	0.031	0.03
mmu-miR-181a-5p	ENSG00000049130	KITLG	0.02	0.019
mmu-miR-181a-5p	ENSG00000049540	ELN	0.05	0.05
mmu-miR-181a-5p	ENSG00000050030	NEXMIF	0.187	0.187
mmu-miR-181a-5p	ENSG00000051009	FHIP1B	0.297	0.297
mmu-miR-181a-5p	ENSG00000052795	FNIP2	0.076	0.047
mmu-miR-181a-5p	ENSG00000055609	KMT2C	0.072	0.072
mmu-miR-181a-5p	ENSG00000055813	CCDC85A	0.093	0.093
mmu-miR-181a-5p	ENSG00000057019	DCBLD2	0.103	0.075
mmu-miR-181a-5p	ENSG00000059145	UNKL	0.211	0.017
mmu-miR-181a-5p	ENSG00000059758	CDK17	0.105	0.102
mmu-miR-181a-5p	ENSG00000059804	SLC2A3	0.344	0.344
mmu-miR-181a-5p	ENSG00000060237	WNK1	0.131	0.008
mmu-miR-181a-5p	ENSG00000060339	CCAR1	0.295	0.285
mmu-miR-181a-5p	ENSG00000060749	QSER1	0.041	0.038
mmu-miR-181a-5p	ENSG00000062194	GPBP1	0.264	0.111
mmu-miR-181a-5p	ENSG00000064309	CDON	0.191	0.191
mmu-miR-181a-5p	ENSG00000064393	HIPK2	0.068	0.068
mmu-miR-181a-5p	ENSG00000065150	IPO5	0.049	0.046
mmu-miR-181a-5p	ENSG00000065243	PKN2	0.115	0.114
mmu-miR-181a-5p	ENSG00000065413	ANKRD44	0.062	0.058
mmu-miR-181a-5p	ENSG00000065534	MYLK	0.02	0.001
mmu-miR-181a-5p	ENSG00000065882	TBC1D1	0.154	0.075
mmu-miR-181a-5p	ENSG00000066084	DIP2B	0.124	0.119
mmu-miR-181a-5p	ENSG00000066697	MSANTD3	0.23	0.162
mmu-miR-181a-5p	ENSG00000067082	KLF6	0.335	0.335
mmu-miR-181a-5p	ENSG00000068028	RASSF1	0.39	0.39
mmu-miR-181a-5p	ENSG00000068078	FGFR3	0.159	0.159
mmu-miR-181a-5p	ENSG00000068305	MEF2A	0.138	0.084
mmu-miR-181a-5p	ENSG00000068383	INPP5A	0.109	0.109
mmu-miR-181a-5p	ENSG00000068650	ATP11A	0.02	0.019
mmu-miR-181a-5p	ENSG00000069275	NUCKS1	0.244	0.069
mmu-miR-181a-5p	ENSG00000069667	RORA	0.056	0.048
mmu-miR-181a-5p	ENSG00000069702	TGFBR3	0.123	0.123
mmu-miR-181a-5p	ENSG00000070159	PTPN3	0.03	0.03
mmu-miR-181a-5p	ENSG00000070882	OSBPL3	0.378	0.378
mmu-miR-181a-5p	ENSG00000070961	ATP2B1	0.174	0.174
mmu-miR-181a-5p	ENSG00000071054	MAP4K4	0.12	0.049
mmu-miR-181a-5p	ENSG00000071537	SEL1L	0.02	0.02
mmu-miR-181a-5p	ENSG00000072133	RPS6KA6	0.161	0.155
mmu-miR-181a-5p	ENSG00000072415	PALS1	0.284	0.105
mmu-miR-181a-5p	ENSG00000072786	STK10	0.204	0.02
mmu-miR-181a-5p	ENSG00000072849	DERL2	0.175	0.129
mmu-miR-181a-5p	ENSG00000073670	ADAM11	0.185	0.185
mmu-miR-181a-5p	ENSG00000073792	IGF2BP2	0.159	0.159
mmu-miR-181a-5p	ENSG00000073921	PICALM	0.108	0.107
mmu-miR-181a-5p	ENSG00000074054	CLASP1	0.145	0.145
mmu-miR-181a-5p	ENSG00000074266	EED	0.143	0.004
mmu-miR-181a-5p	ENSG00000075035	WSCD2	0.03	0.03
mmu-miR-181a-5p	ENSG00000075539	FRYL	0.03	0.017
mmu-miR-181a-5p	ENSG00000076108	BAZ2A	0.02	0.019
mmu-miR-181a-5p	ENSG00000077147	TM9SF3	0.154	0.13
mmu-miR-181a-5p	ENSG00000077157	PPP1R12B	0.03	0.03
mmu-miR-181a-5p	ENSG00000077254	USP33	0.215	0.215
mmu-miR-181a-5p	ENSG00000078124	ACER3	0.206	0.194
mmu-miR-181a-5p	ENSG00000078699	CBFA2T2	0.036	0.022
mmu-miR-181a-5p	ENSG00000079308	TNS1	0.126	0.126
mmu-miR-181a-5p	ENSG00000079387	SENP1	0.157	0.093
mmu-miR-181a-5p	ENSG00000080200	CRYBG3	0.192	0.192
mmu-miR-181a-5p	ENSG00000080298	RFX3	0.046	0.033
mmu-miR-181a-5p	ENSG00000081154	PCNP	0.212	0.193
mmu-miR-181a-5p	ENSG00000081842	PCDHA6	0.148	0.148
mmu-miR-181a-5p	ENSG00000081923	ATP8B1	0.157	0.131
mmu-miR-181a-5p	ENSG00000082497	SERTAD4	0.138	0.138
mmu-miR-181a-5p	ENSG00000083067	TRPM3	0.031	0.031
mmu-miR-181a-5p	ENSG00000083312	TNPO1	0.098	0.061
mmu-miR-181a-5p	ENSG00000083896	YTHDC1	0.253	0.182
mmu-miR-181a-5p	ENSG00000084234	APLP2	0.145	0.02
mmu-miR-181a-5p	ENSG00000084636	COL16A1	0.307	0.213
mmu-miR-181a-5p	ENSG00000085831	TTC39A	0.263	0.166
mmu-miR-181a-5p	ENSG00000086062	B4GALT1	0.2	0.198
mmu-miR-181a-5p	ENSG00000086589	RBM22	0.165	0.164
mmu-miR-181a-5p	ENSG00000086666	ZFAND6	0.313	0.313
mmu-miR-181a-5p	ENSG00000087095	NLK	0.131	0.016
mmu-miR-181a-5p	ENSG00000087258	GNAO1	0.147	0.147
mmu-miR-181a-5p	ENSG00000087448	KLHL42	0.216	0.21
mmu-miR-181a-5p	ENSG00000087903	RFX2	0.122	0.004
mmu-miR-181a-5p	ENSG00000088179	PTPN4	0.087	0.041
mmu-miR-181a-5p	ENSG00000088832	FKBP1A	0.11	0.11
mmu-miR-181a-5p	ENSG00000089902	RCOR1	0.142	0.109
mmu-miR-181a-5p	ENSG00000090061	CCNK	0.197	0.001
mmu-miR-181a-5p	ENSG00000090316	MAEA	0.134	0.134
mmu-miR-181a-5p	ENSG00000091009	RBM27	0.05	0.03
mmu-miR-181a-5p	ENSG00000091039	OSBPL8	0.172	0.01
mmu-miR-181a-5p	ENSG00000091181	IL5RA	0.135	0
mmu-miR-181a-5p	ENSG00000091409	ITGA6	0.05	0.05
mmu-miR-181a-5p	ENSG00000091656	ZFHX4	0.037	0.035
mmu-miR-181a-5p	ENSG00000091831	ESR1	0.171	0.171
mmu-miR-181a-5p	ENSG00000092377	TBL1Y	0.17	0.17
mmu-miR-181a-5p	ENSG00000092964	DPYSL2	0.148	0.148
mmu-miR-181a-5p	ENSG00000094916	CBX5	0.136	0.026
mmu-miR-181a-5p	ENSG00000095015	MAP3K1	0.02	0.02
mmu-miR-181a-5p	ENSG00000095539	SEMA4G	0.179	0
mmu-miR-181a-5p	ENSG00000096717	SIRT1	0.231	0.231
mmu-miR-181a-5p	ENSG00000099715	PCDH11Y	0.033	0.033
mmu-miR-181a-5p	ENSG00000099822	HCN2	0.123	0.123
mmu-miR-181a-5p	ENSG00000099875	MKNK2	0.02	0.02
mmu-miR-181a-5p	ENSG00000099954	CECR2	0.058	0.048
mmu-miR-181a-5p	ENSG00000100014	SPECC1L	0.267	0.267
mmu-miR-181a-5p	ENSG00000100030	MAPK1	0.153	0.001
mmu-miR-181a-5p	ENSG00000100060	MFNG	0.072	0.072
mmu-miR-181a-5p	ENSG00000100167	SEPTIN3	0.103	0.103
mmu-miR-181a-5p	ENSG00000100234	TIMP3	0.173	0.018
mmu-miR-181a-5p	ENSG00000100307	CBX7	0.203	0.203
mmu-miR-181a-5p	ENSG00000100354	TNRC6B	0.02	0.015
mmu-miR-181a-5p	ENSG00000100376	FAM118A	0.051	0.002
mmu-miR-181a-5p	ENSG00000100425	BRD1	0.268	0.268
mmu-miR-181a-5p	ENSG00000100433	KCNK10	0.02	0.02
mmu-miR-181a-5p	ENSG00000100532	CGRRF1	0.163	0.116
mmu-miR-181a-5p	ENSG00000100580	TMED8	0.02	0.017
mmu-miR-181a-5p	ENSG00000100605	ITPK1	0.057	0.057
mmu-miR-181a-5p	ENSG00000100625	SIX4	0.13	0.088
mmu-miR-181a-5p	ENSG00000100626	GALNT16	0.079	0.079
mmu-miR-181a-5p	ENSG00000100632	ERH	0.269	0.269
mmu-miR-181a-5p	ENSG00000100744	GSKIP	0.389	0.389
mmu-miR-181a-5p	ENSG00000100811	YY1	0.182	0.149
mmu-miR-181a-5p	ENSG00000100987	VSX1	0.287	0.287
mmu-miR-181a-5p	ENSG00000101115	SALL4	0.142	0.137
mmu-miR-181a-5p	ENSG00000101265	RASSF2	0.081	0.079
mmu-miR-181a-5p	ENSG00000101290	CDS2	0.067	0.002
